Company Name,Logo URL,Website URL,Type,Booth,Country,Company Industry,Sector(s),Region(s),Funding Stage,Business type,Founding Year,Number of Employees,LinkedIn,Instagram,Description
SDM,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/de0b7a318a0e4240a11ce2b0e6060745.jpeg.webp?VersionId=RbMZie2ulYChaGUtPZy70fENK_gS9ugy&amp;itok=Q7DWoKlJ,https://sdm.sa,Exhibitor,H1A.D11,Saudi Arabia,,"Biotech, Health & Life Sciences",Africa; Asia; MENA,Pre-Seed,B2B; B2G; B2B2C,2023,6-10,,,"We’re building locally trained AI diagnosing tools that enable early detection of diabetes complications and chronic diseases at the point of care, making prevention accessible and scalable."
SECLORE,,https://seclore.com,Exhibitor,H3.J28,,,,,,,,,,,
Sehrish & Co. FZE LLC,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://sehrish-khan.com,,,,,,,,,,,,,
Sejel Technology,,https://sejeltech.com,Exhibitor,H1.K40,Saudi Arabia,,,,,,,,,,
Semo App,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/08528ccc5cf6463b9ab99094b734966c.png.webp?VersionId=2Cu_nzcReESahBagjqPpzxe4jLKfpq.H&amp;itok=9zMPsGih,https://semo.net,,,,,,,,,,,,,
Sensemotion,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c73474eebc414aeb8b857b2c716efb60.jpeg.webp?VersionId=a1dxUsF4VEdfbRecw8bWbKvDtTZq0Ep0&amp;itok=sL6te9fU,www.sensemotion.com.tr,Exhibitor,H3.E174,Turkey,"Entertainment and leisure; Healthcare, Pharma and Life Sciences; Technology, Software and IT Services",,Asia; Europe; MENA; North America,Series A,B2B,2024,6-10,sensemotions,sensemotion.tech,"SenseMotion is an accessible match cabin that converts visual data into real-time spatial audio and tactile feedback—so fans do not just hear the match, they feel it."
Sensus,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://sensushealthcare.com,,,,,,,,,,,,,
SentiVue,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/5493b0453ffe435f84621dd8df7974cf.png.webp?VersionId=dOzEyqeurGUm6zci5Bqna.ZhL2eUx5Uk&amp;itok=x1JyWhww,https://sentivue.com,,,,,,,,,,,,,
Sepia Solutions,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/3be8c9254d534b16a254d498e56d60d0.jpeg.webp?VersionId=Z9dl5pVEVMTnRUkEbWo4g44uclEkUgQo&amp;itok=dvncQWGV,https://sepiasolutions.com,Exhibitor,H3.H170,Pakistan,"Consulting and Advisory; Technology, Software and IT Services",,Africa; Asia; Europe; MENA; North America; Middle East,No Funding Yet/Bootstrapped,B2B; B2C; B2G; B2B2C,,21-50,sepiasolutions,SepiaSolutions,"Transform Faster. Operate Smarter. Innovate with AI.Sepia Solutions helps enterprises turn technology investment into measurable business transformation. Our expertise spans Cloud, AI, application modernization, managed services, Data & BI, DevOps, system integration, and cybersecurity.As a Microsoft CSP Tier-1 Partner with five Microsoft Solutions Partner designations, along with Google Cloud and AWS partnerships, we bring the experience and capabilities needed to deliver secure, scalable, and intelligent enterprise solutions.Visit Sepia Solutions at LEAP to experience our latest AI innovations:Sepia AIWorkspace: Intelligent agent for enterprise knowledgeSepia InvoAI: Smart agent for accounts payable and supplier collaborationSepia IntelliAI: Intelligent evaluator for proposals, RFPs, CVs, job descriptions, invoices, and purchase ordersOur Core ServicesArtificial Intelligence and Intelligent AutomationCloud Migration and ModernizationEnterprise Application DevelopmentMicrosoft 365 and Modern WorkData, BI and AnalyticsLow-Code and No-Code SolutionsManaged Cloud and SharePoint ServicesCybersecurity and ComplianceDevOps and AutomationSystem IntegrationLet’s connect to explore collaboration, regional partnerships, and your next digital transformation initiative.Website: sepiasolutions.comIntelligent Cloud, AI and Digital Solutions for the Modern Enterprise"
Serva,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/09e6bac61e0047ef898a9991c9df0e7f.png.webp?VersionId=QIm2bOt1O3BPHkWivZf_fUSUYqIAKG20&amp;itok=nq0aO-sh,https://serval.com,,,,,,,,,,,,,
ServiceNow Arabia Limited,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/b9d897703c3f40339cc9b0e4e72d4d4b.png.webp?VersionId=rb2z_FajRemoF3JamQNu9L3SMez3dlQu&amp;itok=eqdaxFNZ,https://servicenow.com,Exhibitor,H2.M10,Saudi Arabia,"Technology, Software and IT Services",Technology & Telecommunications,,,B2B; B2C; B2G; B2B2C,,,,,
Seyaha,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/aba3c5e2e1904af590837159e9aaa11b.png.webp?VersionId=3aZWtw9O.jR9ud7fb4F1L6psmOdgc7E4&amp;itok=h-tWdmDn,https://seyaha.net,,,,,,,,,,,,,
Shaghaf Al Aemal Almutatawira (OfinTech),https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/113fc3e7b30f46adaf950314e34dcd4b.jpeg.webp?VersionId=zY91Q_RetpOey8SJXuy6avztDKgyAavN&amp;itok=3-BkU3qD,https://shaghafgen.com,,,,,,,,,,,,,
Shahgaron,,https://shahgaron.com,Exhibitor,H1.K40,,,,,,,,,,,
"Shanghai Sixunited Intelligent Technology Co,Ltd",https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/7904604275b7434883e5a14820631123.jpeg.webp?VersionId=orieX.Zk6kTB3I15lF166vfbi_es1vaQ&amp;itok=5J80w359,https://en.sixunited.com,Exhibitor,H5.F39,China,"Technology, Software and IT Services","AI & Deep Tech; Biotech, Health & Life Sciences; Retail & Consumer Goods; Technology & Telecommunications",Africa; Asia; Europe; LATAM; North America; Oceania; UK and Ireland; Middle East,D+; Series C,B2B,,,,,"Shanghai Sixunited Intelligent Technology Co,Ltd.was original founded in Shanghai China in 2015.It is a national high-tech enterprise and one-stop solution provider for global consumer electronics and intelli -gent networking products,Sixunited main products are Notebook,Tablet, Mini PCs, All-in-One, PC Peripherals,Server,loTindustrial control and other smart enddevice etc, meanwhile, Sixunited is also the main serviceprovider for global X86 platform solutions."
Sharek -Business Technology Company for Communications and Information Technology,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://sharqaljazeera.iq,Exhibitor,H3.I148,Saudi Arabia,"Technology, Software and IT Services",,Middle East,,,,,,,
SHATIB,,https://shatib.sa,,,,,,,,,,,,,
Shell App,,https://shell.co.uk,Exhibitor,H1A.F30,,,,,,,,,,,
"Shenzhen Doke Communication Co.,Ltd.",,https://dakecommunication.cn,Exhibitor,H3.F174,,,,,,,,,,,
"Shenzhen Kingwear Technology Development Co.,Ltd",https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://king-wear.com,Exhibitor,H3.F172,,,,,,,,,,,
"SHENZHEN LAGENIO TECHNOLOGY CO.,LIMITED",https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/6d96303989a54334ade362297d864274.jpeg.webp?VersionId=kyiHoJJL3dxXHP.RN_ycJzZwLaBKXqJv&amp;itok=g5LPLkJ_,https://www.lagenio.com/,Exhibitor,H3.G172,China,"Retail, E-commerce and Consumer Goods; Telecommunications",,,,,2019,51-99,lagenio-kids-watch,,"LAGENIO is the pioneer in the global kid's watch industry. Founded in 2019, we prioritize safety while nurturing kid's curiosity through our innovative designs. With features tailored to kid's needs—communication, location tracking, and health monitoring—we are creating a world where innovation and care converge to empower families.Our team of over 600 experts possesses a collective experience exceeding 15 years in the telecom industry, enabling us to earn the trust of more than 36 million users across 45 countries. With our products being 100% designed in-house, we ensure that every aspect of our technology is crafted to the highest standards.LAGENIO: Stay connected, stay safe."
"Shenzhen Suqiao Computer Technology Co., Ltd.",https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/d434b59ce8c143e6bc53de1b6f03f624.png.webp?VersionId=gN3bcKykNDehUqwEtoR8zPkJyiFmx87B&amp;itok=-0edTmGx,www.genmachinepc.com,Exhibitor,H3.F176,China,"Technology, Software and IT Services",,Asia; Europe; North America; Middle East,No Funding Yet/Bootstrapped,B2B,2021,21-50,143053216,genmachine_minipc,"SHENZHEN SUQIAO COMPUTER TECHNOLOGY CO., LTD.As a pioneer and recognized National High-Tech Enterprise with 16 years of expertise, we are dedicated to the integrated R&D, design, and manufacturing of mini computers. We deliver high-performance, exceptionally reliable, and thoughtfully engineered compact computing solutions to a global audience.Under the GenMachine brand, we offer a comprehensive portfolio including Intel and AMD-based Mini PCs, AI-powered laptops, portable monitors, and motherboards. By leveraging our proven technical excellence and optimized manufacturing, we provide trusted, customized solutions for partners worldwide."
Shuttle Inc.,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c8bce5ee4d3e4df29c67d6ad528f72bb.png.webp?VersionId=s9Nca6L.QzlAVJcVRZq2oXXIimikN7iY&amp;itok=K1K-s6so,https://global1.shuttle.com/,Exhibitor,H5.C20,Taiwan,"Technology, Software and IT Services","Cybersecurity, Aerospace and Defence; Technology & Telecommunications",,,,,,shuttleinc,shuttleglobal,"Established in 1983, Shuttle is a leading provider of commercial mini-PCs and industrial PCs. With over four decades of hardware innovation history, the company offers dependable and efficient mini-PC and embedded solutions for applications such as Machine Learning, AI, Edge Computing, and Embedded systems.Shuttle's product lineup encompasses Mini PCs, Embedded Box PCs, Edge computers, HMI/Touch Panel PCs, and All-In-One units, specifically designed for IoT applications such as digital signage, self-service kiosks, surveillance, and automation control.In response to the continuous advancements in AI and IoT technologies, Shuttle is committed to enhancing its AI PC solutions to address evolving market needs, with a focus on reliability, durability, and performance across diverse industries."
SIERRA ODC Private Limited,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/49297d7f638d43efa43178ae824d5f97.png.webp?VersionId=yt1Dwico0vXwGV3Vua4tuOz4hGh5D31f&amp;itok=Pfqj2SBU,www.efacility.global,Exhibitor,H3.E160,India,"Technology, Software and IT Services",,Asia; MENA; North America,,B2B,,100-250,efacility,efacility_sierra_odc,"SIERRA ODC Private Limited is an AI-driven solution provider with over 28 years of experience in transforming facility and workplace operations. SIERRA develops, owns and supports eFACiLiTY®, an enterprise-grade Integrated Workplace Management System (IWMS) and Computer-Aided Facility Management (CAFM) platform.With 35+ integrated modules, eFACiLiTY® unifies facility, asset, maintenance, workplace, real estate, sustainability and smart building operations across a single scalable platform. Its AI Cortex connects operational intelligence with governed actions, helping organisations make faster decisions and improve control.Trusted by 200+ clients across 31 countries, eFACiLiTY® helps enterprises reduce operating costs, improve asset performance, optimise resource utilisation, strengthen compliance and create smarter, more productive workplaces."
Sighti,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/eb3f7d94fafc45799c41373decb08a9c.png.webp?VersionId=uR8Yupq3OQhb1d7sGQvApRiEl3KDs0bW&amp;itok=qrp1BaQx,https://sightic.com,,,,,,,,,,,,,
SignifAi,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c44f8566d15c4b4f9ec01349e44255ed.png.webp?VersionId=dRxQfMXfiYwGp5UBinC3IvK_q2G2ChHl&amp;itok=uC6KM5E8,https://signifai.io,,,,,,,,,,,,,
Signifi Solutions Inc.,,https://signifi.com,Exhibitor,H3.B168,,,,,,,,,,,
Signit for Information Systems Technology,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/8679a5e9c83647fa943851de2994f53a.png.webp?VersionId=eK0YT0kKrjGUNY8HgMNlMzuPDtTBBJLm&amp;itok=8MZ0goSN,https://signit.sa,Exhibitor,H3.H50,Saudi Arabia,"Technology, Software and IT Services",Technology & Telecommunications,MENA,,,,,,,"Signit is a Saudi-based Arabic e-signature platform to manage and sign your agreements in a simple and secure way. We're the one-stop solution for all digital agreements and digital identity verification. We proudly and successfully serve clients in Saudi Arabia across more than 20 business verticals ranging from (semi)government, corporates, NGOs, Education, Academia and Researchal institutes, SMEs and startups."
Signvrse Limited,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/a74a3dfd89fc4c8e8890373ce566361c.png.webp?VersionId=i59tu5kgqloOYXcVIqBhWQa_UZVaKL.t&amp;itok=JLvpYWvp,https://signvrse.com,,,,,,,,,,,,,
Silah Gulf,,https://silah.bh,Exhibitor,H3.B190,Bahrain,,,,,,,,,,
Silvertone Media Limited (trading as Irys),,,,,,,,,,,,,,,
Sinaholz,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/72374ef0dbab401da64902f8ff46f94b.png.webp?VersionId=j29TqsGKvk.vg7yJl4E1BL7mB1R6liL.&amp;itok=PF7FZD45,https://sinaholz.com,,,,,,,,,,,,,
Sinai.ai,,https://sinai.ai,,,,,,,,,,,,,
Sirajsoft,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/fb9fba2a2b7743969b3f99d507cab903.png.webp?VersionId=VDtapmE2GhwwypX9BTlIBf24CUV5899Z&amp;itok=VpiJ3d-e,www.sirajsoft.com,Exhibitor,H1A.G30,,"Retail, E-commerce and Consumer Goods; Technology, Software and IT Services",,MENA,No Funding Yet/Bootstrapped,B2B,2024,1-5,sirajsoft,,"SirajSoft is the technology company behind Sellsabeel is an AI-powered operating system for retail and distribution, connecting stores, warehouses, field sales, B2B/B2C commerce, loyalty and AI around one data core. Proven in Algeria and built for MENA, we are at LEAP to meet Saudi pilot customers, partners and investors."
Sirar by STC,,https://sirar.com.sa,Exhibitor,H1.B50,,,,,,,,,,,
Sitecore Middle East FZ-LLC,,https://sitecore.com,Exhibitor,H1.E30,United Arab Emirates,,,,,,,,,,
SIYADAH AI,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/d3adf2c8605a4d4697be2a078f550100.png.webp?VersionId=Lai8bgQa6UfUuXE1QHizQp_GfeYopQ29&amp;itok=t1ZwSm5j,https://siyadah.ai,,,,,,,,,,,,,
Skilled Software Company,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/bd23a3fd90c04f319ebd8baa2494fc2a.png.webp?VersionId=kjfpydMQyMGXEZGUyRcswWQyofivKFH3&amp;itok=ETVkBTq5,https://skilledwork.org,,,,,,,,,,,,,
Skin Kollective Pte. Ltd.,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://kollective.agency,,,,,,,,,,,,,
Skin Smart,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/5eef06b9c4404c1ebe5f5b1ca7024446.png.webp?VersionId=nomh1rzd38VSKkioW9nxkx9nCLkFQuOX&amp;itok=j4yMBPVd,https://skinsmart.ie,,,,,,,,,,,,,
SKYFive Arabia,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/b0dcca5b49fd427eb9adead0745b1e5e.jpeg.webp?VersionId=V2RH2eK91QY7WhpJQc04z8zRUoD1Jga2&amp;itok=TbrSZrpm,https://skyfive-arabia.world,Exhibitor,H4.G70,Saudi Arabia,Investment and VC,Retail & Consumer Goods; Technology & Telecommunications,MENA,Series A,B2B; B2B2C,2022,11-20,scit-space-communication-and-information-technology,scit.group,"SCIT is a leading technology and innovation Investment and VC house headquartered in Saudi Arabia. We specialize in venture capital Investment and VC in Technology, IT, Cloud, Cyber security, A.I., and other ventures.SKYFive Arabia is the first telecommunications and Internet services provider on aircraft (IFC),through an innovative technology called Air-2-Ground (A2G), This technology is the latest in airline industry."
Skyro,,https://skyroot.in,Exhibitor,H3.J78,,,,,,,,,,,
Slick Pay,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/723032ea34444ed2b98a34d85d7df1d6.webp?VersionId=4xWB3EOynJSFuYA8tlCG2n5MRXFI6VrC&amp;itok=SZKQa3qI,https://slick-pay.com/,Exhibitor,H1A.G30,Algeria,Financial Services and Banking,,Africa; MENA,Seed,B2B; B2C; B2B2C,2022,11-20,slick-pay,slickpay,
Slnee Information Technology Company,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://slnee.com,Exhibitor,H3.F120,,,,,,,,,,,
Smart Bus,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/13d4fdd2e23e4bb7a809dda482f2b32c.jpeg.webp?VersionId=txCoE48t.cT1e6BEBT94yVZuCit5VpBA&amp;itok=pgDgRBnO,https://smartbus.om,Exhibitor,H1A.F50,Oman,,,Africa; Asia; MENA; North America; South America; Middle East,Seed,B2B; B2B2C,,1-5,,smartbus.oman,"SmartBus is an enterprise SaaS & IoT platform dedicated to transforming school transit safety and fleet management across the region. Built to high international safety standards, SmartBus seamlessly connects school administrations, transport providers, and parents to ensure complete peace of mind.Key Capabilities:Live Fleet Tracking & Route Optimization: Real-time visibility and journey history.Student Attendance & Instant Alerts: Automated boarding logs and safety notifications.Advanced Telematics: Integrated with industry-leading hardware (Teltonika).Actionable Analytics: Automated PDF and Excel reporting for fleet managers.Mission: Elevating student transit safety from standard GPS tracking into an intelligent, error-free safety ecosystem."
Smart Communication Systems,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://smartcommunications.com,Exhibitor,H5.B40,,,,,,,,,,,
Smart Drilling Operations,,https://smartdrillingops.com,Exhibitor,H1A.G30,,,,,,,,,,,
Smart Drive Solutions Co.,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/b81a5d24bf3e41399b04993c00f8803d.png.webp?VersionId=SIeMUe_uClgmHY1KEmxbadWN9f_yZNZ1&amp;itok=GXXGq1oX,https://smartdrive.net,,,,,,,,,,,,,
Smart Guard Technology Solutions,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/1f3090468ff3455da611aeb9243c4465.png.webp?VersionId=4gbBKQfG2tCM2rTV0gIEhLXeYpR0y0D1&amp;itok=ovy3g67q,https://smartguardtechnology.com,,,,,,,,,,,,,
Smart Helmet,,https://mysmarthelmet.com,,,,,,,,,,,,,
Smart Solutions,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/deb8a04d93064eaea94e9b04d976c711.png.webp?VersionId=wkGlExbtJH1gf9COxHTwjQ9JbDlT.O6G&amp;itok=1I8-oyFx,https://smartsolutions.com,Exhibitor,H3.H110,Saudi Arabia,"Technology, Software and IT Services","Cybersecurity, Aerospace and Defence; Manfacturing and Logistics; Smart Living & Consumer Technology; Technology & Telecommunications",Africa; Asia; MENA,,B2B; B2G,,,,,"Smart Solutions for Information Systems Technology (SSIS) specializes in providing comprehensive IT solutions to businesses in Saudi Arabia. Our services encompass implementation, manpower solutions, products, advisory, Consulting and Advisory, a n d support services. With a commitment to excellence and innovation, SSIS is dedicated to helping organizations leverage technology to achieve their goals effectively."
Smart Space,,https://smartspacevs.com,Exhibitor,H1A.F30,,,,,,,,,,,
Smart TechOne,,https://smarttechone.com,Exhibitor,H3.H170,Pakistan,"Real estate; Technology, Software and IT Services; Telecommunications",,Asia; Middle East,No Funding Yet/Bootstrapped,B2B; B2G; B2B2C,2023,250-500,,,"Smart TechOne is the technology and innovation arm of the HRL Engineering, one of Pakistan's established engineering and infrastructure groups. Registered as an STZA Zone Enterprise, the company applies that engineering lineage to the digital layer of the city. Smart TechOne leads digital transformation & innovation for Capital Smart City and Lahore Smart City across the full delivery chain. We specify and deploy the sensing and connectivity layer, we build the software that runs on top of it, and we operate the command centre daily. Most smart city suppliers deliver a single product line: a meter, a camera, a parking sensor or a dashboard. The city then ends up administering forty disconnected systems. Smart TechOne begins instead with one platform and selects hardware that fits it.That platform is SmartCity OS, ECHO, and its centre is a live 4D Digital Twin of the city. Every pole, meter, plot, building, lift, valve and vehicle exists in the twin as an object with history, state and behaviour, streaming from more than 25 operational modules across energy, water, sewerage, environment, buildings, safety, mobility and town planning. Because every module reports into the same model, a single event can drive several systems at once. A fire alarm releases the nearest barrier, recalls the lift, pushes the camera feed to the command centre, routes the fire vehicle and notifies the block. Operators replay incidents, and simulate an action such as closing a valve or releasing a sector before committing to it. ECHO AI runs a seven-day predictive horizon over the same twin for demand forecasting, leak and anomaly detection, computer vision and maintenance prediction. Critically, the city is planned on the model that operates it, so an approved plot, a planted avenue and a sewer segment remain the same record from proposal to sensor.The stack is proven in an occupied city before it is offered to the next. Each module is commissioned and hardened in live operation at Capital Smart City and Lahore Smart City, run from the Command Centre and developed at the Silicon Village Incubation Center. Delivered outcomes are measured in revenue assurance, operating cost, public safety, asset lifecycle and planning integrity, against a 99.97% platform availability target and support in 7 languages. Smart TechOne is available to municipal authorities, master developers and public sector clients as a complete platform or module by module, with an operate and support model in which our teams run the platform rather than hand over a system and a manual. Meet us at LEAP 2026, Riyadh."
Smartcast,,,Exhibitor,H3.E190,,,,,,,,,,,
SmartEnds,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/587dd3f82df14b92a32e30d44ebcd1f7.png.webp?VersionId=Puu1_LkZQARaBfBBA72at8BQ6PUEunfZ&amp;itok=rJN24p-4,https://smartends.com,,,,,,,,,,,,,
SmartOSC,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/00cbb83d1efc4b4b84124e71e4ea47ed.png.webp?VersionId=sujTiOpYaUuxVJu104vnSFt12Fb7eYXd&amp;itok=mjvOZ3_u,https://www.smartosc.com,Exhibitor,H5.I30,United Arab Emirates,"Technology, Software and IT Services",,Africa; Asia; Europe; North America; UK and Ireland; Middle East,,B2C; B2B2C,2006,500+,smartosc,,"SmartOSC is a global technology systems integrator and premium digital enabler, established in 2006, with 2,000+ professionals across offices in 10+ countries. We are a solutions, consulting, and services-focused organization, with deep expertise in Data & AI — spanning data engineering, analytics, and AI solution development — alongside eCommerce, Fintech, Cloud, and UI/UX.With AI-first solutions and a strategic industry focus, we help banks, retailers, and enterprises navigate digital transformation at scale — combining global expertise with local, on-the-ground presence to deliver projects on time and on budget.We are a strategic partner to leading technology platforms including Databricks, Adobe, Sitecore, Backbase, OutSystems, AWS, Azure, GCP and have delivered 1,000+ projects for global brands such as Nike, LG, ASUS, and CIMB"
SMARTWTI,,https://smartwti.com,,,,,,,,,,,,,
SME Development Authority (Riyada)- Sultanate of Oman,,,,,,,,,,,,,,,
SNC ICT,,https://sncict.com,Exhibitor,H1.L40,Saudi Arabia,,,,,,,,,,
Snowflake Arabia Limited,,https://snowflake.com,Exhibitor,H2.O10,Saudi Arabia,"Technology, Software and IT Services",AI & Deep Tech; Technology & Telecommunications,MENA,,B2B,,500+,,,
SOCByte,,https://socbyte.ai,Exhibitor,H3.E108,,Other,,,Seed,B2B,2024,21-50,Socbyte,Socbyte,"Agentic SOC platform that combines 5 SOC tools into one vendor agnostic ecosystem. Operational in Pakistan, KSA, USA, and Nigeria"
Social Octopus Company,,https://socialoctopus.io,,,,,,,,,,,,,
SOFTECH BUSINESS SERVICES (SMC-PRIVATE ) LIMITED,,https://softechbusinessservices.com,Exhibitor,H3.I170,,,,,,,,,,,
Software AG FOR INF. TECH,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/a1497bb21a174dd79d8576facc3ca8f6.jpeg.webp?VersionId=0QscyMZQ7WF6bELTc6i42YbKf0y9kHRt&amp;itok=N3hyBELJ,https://softwareag.com,Exhibitor,H3.C70,Saudi Arabia,"Technology, Software and IT Services","Energy, Sustainability & Utilities; Technology & Telecommunications",Africa; Asia; Europe; LATAM; MENA; North America; Oceania; UK and Ireland,,B2B; B2G,,,,,AI-Driven Process Intelligence
Software Consultancy,,https://softwareag.com,Exhibitor,H1.K40,,,,,,,,,,,
SOLAYA,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://solaya.io,,,,,,,,,,,,,
Solidcore Solutions,,https://solidcore.co,,,,,,,,,,,,,
SOLVERSHIP d.o.o.,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/8933634813fa417eae4944f18cdcb93e.png.webp?VersionId=ySlRUCQ01pPUjVyuSU2Y2FFXcVKVVDCC&amp;itok=-yuG99l_,www.solvership.com,Exhibitor,H4.H78,Croatia,"Consulting and Advisory; Technology, Software and IT Services",AI & Deep Tech; Professional Services,Europe; MENA; UK and Ireland,,B2B,2001,100-250,solvership,solvership,"At Solvership, we’re a team of experienced problem solvers with one mission: helping you bring out your business’s full potential by solving complex data challenges.We don't believe in one-size-fits-all. Every business is different, and so are our solutions. We work closely with you to create data strategies that meet your specific needs and help you grow with confidence.Having been in the data space from the start, we’ve seen how quickly things change, and we know how to keep up. That experience helps us adapt fast and support our clients in staying ahead of the curve. It’s why so many businesses trust us as their go-to partner for data and analytics.Our focus is simple: turning your data into a real business advantage. Whether it's uncovering new insights, streamlining operations, or supporting better decision-making, we help you make the most of what your data can do.We use tools like advanced analytics and AI not just because they’re cutting-edge, but because they get results. From automating routine tasks and predicting trends to simplifying reporting and improving sustainability efforts, we deliver solutions that make a difference.With over 20 years in the field and more than 280 successful projects across five continents, we bring deep experience, global perspective, and a commitment to doing what’s right for each client."
Sonika,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/4479d26dc3b8432a988ef45e3af8fce3.png.webp?VersionId=yWFt1YdCRrru3BFZfYWAUXiCDokjVghJ&amp;itok=M3w0eZlu,https://sonika.ai/,Exhibitor,H5.F18,Saudi Arabia,"Media, Entertainment and Gaming; Technology, Software and IT Services",,Africa; Asia; Europe; North America; Middle East,,B2B,,,,,"AI-Powered Sonic ExplorationSonika is an AI-powered platform that transforms a brand’s character, values, context, and desired feeling into a connected sonic identity. Starting with a shared Audio DNA, Sonika creates a consistent system of sound across Audio Logos, Music Themes, and variations. Helping brands stay recognizable across campaigns, digital experiences, content, and other touchpoints."
Sooq Cars,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/a8393b67c683458db87396d7e2df2e56.png.webp?VersionId=0aWc.ruA33oM43rjJSQXzFdlTcG0ZmJG&amp;itok=OJHWceOv,https://sooq-cars.com/om/en/ready,Exhibitor,H1A.F50,Oman,Other,,Asia; MENA,Seed,B2B2C,2022,51-99,sooqcars,sooq.cars,"SooqCars is an integrated digital automotive ecosystem designed to simplify and transform the automotive journey. The platform connects buyers, sellers, dealerships, car importers, and automotive service providers within one digital marketplace, offering access to vehicles, imported cars, premium plate numbers, spare parts, workshops, and other automotive solutions.Founded in Oman, SooqCars combines technology, convenience, and an extensive automotive network to create a seamless experience for both consumers and businesses. With a growing regional presence and a scalable technology platform, SooqCars aims to drive digital transformation across the automotive sector and expand its ecosystem into regional and international markets"
